Título PT-BR,Descrição,Nota TMDb,Data Lançamento,Gêneros,Duração (min)
Filhos da Esperança,"No ano de 2027, a infertilidade é uma ameaça real para a civilização, e o último humano a nascer em anos acaba de morrer. Frente a um cenário pessimista sobre o futuro, um burocrata desiludido se torna o herói improvável que pode salvar a humanidade. Para isso, ele enfrenta seus próprios demônios e tenta proteger a última esperança do planeta: uma jovem mulher milagrosamente grávida, descoberta pela ativista inteligente com quem fora casado.",7.612,2006-09-22,"Drama, Ação, Thriller, Ficção científica",109
O Tigre e o Dragão: A Espada do Destino,"Ambientado 20 anos após os acontecimentos de O Tigre e o Dragão, O Tigre e o Dragão: A Espada do Destino traz os mestres Yu Shu-Lien (Michelle Yeoh), Tie-Fang (Harry Shum Jr.), Meng Sizhao (Donnie Yen) e Snow Vase (Natasha Liu Bordizzo) de volta. Juntos, eles terão que unir forças para defender a lendária espada Destino Verde das mãos do temido Hades Dai (Jason Scott Lee).",6.13,2016-02-18,"Ação, Aventura, Drama",103
Quase Famosos,"Um fã ávido por rock'n'roll consegue um trabalho na revista americana Rolling Stone, para acompanhar a banda Stillwater em sua primeira excursão pelos Estados Unidos. Porém, quanto mais ele vai se envolvendo com a banda, mais vai perdendo a objetividade de seu trabalho e logo estará fazendo parte do cenário rock dos anos 70.",7.5,2000-09-15,"Drama, Música",122
Dançando no Escuro,"Uma imigrante tcheca (interpretada por Björk, que ganhou o prêmio de Melhor Atriz em Cannes por sua interpretação devastadora) lida com sua cegueira progressiva se refugiando em suas fantasias musicais.",7.874,2000-09-01,"Drama, Crime",135
Cidade dos Sonhos,"Uma jovem atriz viaja para Hollywood e se vê emaranhada numa intriga secreta com uma mulher que escapou por pouco de ser assassinada, e que agora se encontra com amnésia devido a um acidente de carro. Seu mundo se torna um pesadelo e surreal.",7.806,2001-06-06,"Thriller, Drama, Mistério",147
Shrek,"Em um pântano distante vive Shrek, um ogro solitário que vê, sem mais nem menos, sua vida ser invadida por uma série de personagens de contos de fada, como três ratos cegos, um grande e malvado lobo e ainda três porcos que não têm um lugar onde morar. Todos eles foram expulsos de seus lares pelo maligno Lorde Farquaad. Determinado a recuperar a tranquilidade de antes, Shrek resolve encontrar Farquaad e com ele faz um acordo: todos os personagens poderão retornar aos seus lares se ele e seu amigo Burro resgatarem uma bela princesa, que é prisioneira de um dragão. Porém, quando Shrek e o Burro enfim conseguem resgatar a princesa logo eles descobrem que seus problemas estão apenas começando.",7.75,2001-05-18,"Animação, Comédia, Fantasia, Aventura, Família",90
Toy Story 2,"Quando Andy viaja para um acampamento de verão, Woody é sequestrado por Al, um ambiocioso colecionador, que precisa do brinquedo favorito de Andy para completar sua coleção da Gangue do Rodeio. Junto com Jessie, Bala no Alvo e Mineiro, Woody corre o risco de ter que passar o resto de sua vida em exposição num museu. Agora, Buzz, Sr. Cabeça de Batata, Porquinho, Rex e Slinky terão que salvar seu amigo e trazê-lo de volta à vida de brinquedos.",7.6,1999-10-30,"Animação, Comédia, Família",92
Titanic,"Um artista pobre e uma jovem rica se conhecem e se apaixonam na fatídica jornada do Titanic, em 1912. Embora esteja noiva do arrogante herdeiro de uma siderúrgica, a jovem desafia sua família e amigos em busca do verdadeiro amor.",7.905,1997-11-18,"Drama, Romance",194
Boogie Nights: Prazer Sem Limites,"Eddie Adams (Mark Wahlberg) é um jovem de 17 anos sexualmente bem-dotado. Ele é descoberto por Jack Horner (Burt Reynolds), um diretor veterano que o transforma em Dirk Diggler, uma celebridade da subcultura do mundo pornô no apogeu dos anos 1970. O sucesso faz com que Eddie se envolva no mundo das drogas e a súbita fama pode ter seu preço.",7.627,1997-10-10,Drama,155
Sussurros do Coração,"Shizuku é uma estudante que sonha em ser uma escritora e decide, durante o verão, ler vinte livros. Mas, curiosamente, todas as edições que ela pegou na biblioteca já haviam sido lidas por um tal de Seiji Amasawa.",7.949,1995-07-15,"Animação, Drama, Família",111
Ghost in the Shell: O Fantasma do Futuro,"Major Motoko Kusanagi, uma ciborgue do Setor de Segurança Pública 9, recebe a missão de capturar um hacker que está dominando a mente de humanos aperfeiçoados por computador. Mas ela acaba se envolvendo em uma trama de conspirações, que atinge interesses da alta cópula da política.",7.924,1995-11-18,"Ação, Animação, Ficção científica",82
O Amor e a Fúria,"Um drama sobre uma família maori em Auckland, Nova Zelândia. Lee Tamahori conta a história da forte vontade de Beth Heke de manter sua família unida durante os períodos de desemprego e abuso de seu marido violento e alcoólatra.",7.372,1994-09-02,Drama,99
Amor à Queima-Roupa,"Clarence é aficionado por Elvis Presley e histórias em quadrinhos. Ele se envolve com Alabama, uma prostituta contratada pelo chefe de Clarence como presente de aniversário. Os dois se apaixonam e se casam, mas a tentativa de Clarence em tirar Alabama das ruas acaba fazendo com que o casal termine de posse de uma mala cheia de cocaína que pertence à máfia.",7.545,1993-09-09,"Ação, Crime, Romance",121
A Liberdade é Azul,"Após um trágico acidente em que morrem o marido e a filha de uma famosa modelo (Juliette Binoche), ela decide por renunciar à sua própria vida. Após uma tentativa fracassada de suicício, ela volta a se interessar pela vida ao se envolver com uma obra inacabada de seu marido, que era um músico de fama internacional.",7.659,1993-09-08,Drama,98
O Estranho Natal de Jack e Sally,"Jack Skellington, o Rei das Abóboras, se cansa de fazer o Dia das Bruxas todos os anos e deixa os limites da cidade. Por acaso, acaba atravessando o portal do Natal, onde vê a alegria do espírito natalino. Ao retornar para a Cidade do Halloween, sem ter compreendido o que viu, ele começa a convencer os cidadãos a sequestrarem o Papai Noel e fazerem seu próprio Natal. Apesar de sua leal namorada Sally ser contra, o Papai Noel é capturado e os fatos mostrarão que Sally estava certa o tempo todo.",7.8,1993-10-09,"Fantasia, Animação, Família",76
O Pagamento Final,"Após sair da prisão, Carlito Brigante jura a si mesmo que nunca mais vai voltar a viver como no passado. A mudança de vida não é fácil, uma vez que ele precisa resistir a várias oportunidades e tentações para voltar a lidar com o tráfico de heroína. Ele encontra seu antigo amor, Gail, que lhe mostra que a vida pode ser feliz. Carlito começa a economizar dinheiro para se mudar para as Bahamas, mas nem tudo sai como o esperado.",7.832,1993-11-10,"Crime, Drama, Thriller",144
A Inventora: À Procura de Sangue no Vale do Silício,"Com uma nova invenção mágica que prometia revolucionar os testes de sangue, Elizabeth Holmes tornou-se a bilionária mais jovem do mundo, anunciada como o próximo Steve Jobs. Então, durante a noite, sua empresa de US $ 10 bilhões se dissolveu. A ascensão e queda de Theranos é uma janela para a psicologia da fraude.",7.061,2019-01-24,Documentário,119
Edward Mãos de Tesoura,"Peg Boggs é uma vendedora que acidentalmente descobre Edward, jovem que mora sozinho em um castelo no topo de uma montanha, criado por um inventor que morreu antes de dar mãos ao estranho ser, que possui apenas enormes lâminas no lugar delas. Isto o impede de poder se aproximar dos humanos, a não ser para criar revolucionários cortes de cabelos. No entanto, Edward é vítima da sua inocência e, se é amado por uns, é perseguido e usado por outros.",7.716,1990-12-07,"Fantasia, Drama, Romance",105
Meu Pé Esquerdo,"Christy Brown (Daniel Day-Lewis), o filho de uma humilde família irlandesa, nasce com uma paralisia cerebral que lhe tira todos os movimentos do corpo, com a exceção do pé esquerdo. Com apenas este movimento Christy consegue, no decorrer de sua vida, se tornar escritor e pintor.",7.5,1989-04-07,Drama,103
Faça a Coisa Certa,"Em um bairro onde a maioria da população é predominantemente negra, Buggin' Out, um ativista, exige que Sal, um dono de uma pizzaria, troque as fotos de seus ídolos brancos do local por fotos de ídolos negros. Quando tem seu pedido negado, o ativista passa a organizar um boicote contra a pizzaria de Sal.",7.751,1989-06-14,Drama,120
Os Intocáveis,"Na Chicago dos anos 1930, o jovem agente federal Eliot Ness tenta acabar com o reinado de terror e corrupção instaurado pelo gângster Al Capone. Para isso, ele recruta um pequeno time de corajosos e incorruptíveis homens e conta com a ajuda do experiente policial Jim Malone.",7.759,1987-06-03,"Crime, História, Thriller",119
Hannah e Suas Irmãs,"A filha mais velha de um casal de artistas, Hannah, é uma dedicada esposa, mãe carinhosa e atriz de sucesso. Uma leal defensora de suas duas confusas irmãs Lee e Holly, ela é também a espinha dorsal de uma família que parece se ressentir de sua estabilidade quase tanto quanto dependem da mesma. Mas quando o mundo perfeito de Hannah é silenciosamente sabotada pela rivalidade fraterna, ela finalmente começa a ver que está tão perdida quanto todos os outros, e para poder se encontrar, ela terá que escolher entre a independência e ... a família sem a qual ela não pode viver.",7.5,1986-02-07,"Comédia, Drama",103
Brazil: O Filme,"Sam Lowry vive num Estado totalitário, controlado pelos computadores e pela burocracia. Neste Estado, que lida com o terrorismo, todos são governados por fichas e cartões de crédito e ainda precisam pagar por tudo, até mesmo a permanência na prisão. Neste mundo opressivo, Sam acaba se apaixonando por Jill, uma terrorista.",7.7,1985-02-20,"Comédia, Ficção científica",132
Isto é Spinal Tap,"Filmado como se fosse um documentário real, o filme mostra, com muito humor, a primeira excursão americana da banda inglesa de heavy metal Spinal Tap. A excursão serve de lançamento do disco “Smell the Glove”, e o diretor especialista em comerciais de TV, Marty DiBergi (Rob Reiner), é o responsável pelas filmagens do documentário. Durante a viagem, tudo acaba saindo errado: Shows são cancelados, vão a lugares errados, o som das guitarras sofrem interferência e muitas outras situações muito engraçadas. O mais realista e engraçado filme feito sobre a excursão de uma banda e seus problemas.",7.417,1984-03-02,"Música, Comédia",82
A Nova Cinderela: Milagre de Natal,"Apesar de ser constantemente humilhada pela madrasta fútil e as maldosas irmãs postiças, uma jovem aspirante a cantora acaba vivenciando um verdadeiro milagre de Natal.",6.427,2019-10-15,"Romance, Música, Comédia, Fantasia",85
E.T.: O Extraterrestre,"Um alienígena é deixado para trás na Terra e é salvo por Elliot, um garoto de 10 anos, que decide mantê-lo escondido em sua casa. Enquanto uma força-tarefa caça o extraterrestre, Elliot, seu irmão e sua irmã mais nova, Gertie, formam um vínculo emocional com seu novo amigo e tentam ajudá-lo a encontrar o caminho de casa.",7.513,1982-06-11,"Ficção científica, Aventura, Família, Fantasia",115
"Kagemusha, a Sombra do Samurai","Shingen, um poderoso Senhor da Guerra seriamente ferido, ordena seu clã que encontre um sósia para o substituir caso faleça - para manter a sua morte em segredo, evitando assim o ataque dos seus inimigos. Um pequeno delinquente é escolhido então para ser o impostor. Quando Shingen morre, seus generais concordam, com relutância, que o impostor assuma o papel do poderoso governante. Ele logo começa a apreciar a vida como Shingen, mas seu compromisso com o papel é testado quando ele precisa liderar suas tropas na batalha contra as forças de um senhor da guerra rival.",7.8,1980-04-26,"Ação, Drama, História, Guerra",160
Os Irmãos Cara de Pau,"Após deixar a cadeia Jake reencontra seu irmão Elwood e juntos vão para o orfanato onde foram criados. Lá eles descobrem que o local será fechado se uma dívida de US$ 5 mil com a prefeitura não for paga. Como a freira que dirige o orfanato não aceita de forma alguma dinheiro ganho desonestamente, Jake e Elwood decidem por retomar a The Blues Brothers Band, na intenção de realizar um grande show e arrecadar a quantia necessária para pagar a dívida.",7.725,1980-06-16,"Música, Comédia, Ação, Crime",133
Manhattan,"Um roteirista de televisão de meia-idade e divorciado (Woody Allen) está numa situação constrangedora. Sua ex-mulher o largou para ficar com outra mulher e ele está prestes a publicar um livro no qual revela assuntos muito particulares de seu casamento. Atualmente ele está apaixonado por uma jovem de 17 anos (Mariel Hemingway), mas, para complicar um pouco mais, também se sente atraído pela amante de seu melhor amigo.",7.725,1979-04-25,"Comédia, Drama, Romance",96
Todos os Homens do Presidente,"Em 1972, sem ter a menor noção da gravidade dos fatos, um repórter do Washington Post, inicia uma investigação sobre a invasão de cinco homens na sede do Partido Democrata, que dá origem ao escândalo Watergate e que teve como conseqüência a queda do presidente Richard Nixon.",7.649,1976-04-09,"Drama, História, Mistério, Thriller",138
Ensina-me a Viver,"O relacionamento entre um rapaz de 20 anos com obsessão pela morte, que passa seu tempo indo a funerais ou simulando suicídios, e uma senhora de 79 anos encantada com a vida. Eles passam muito tempo juntos e, durante esta convivência, ela expõe a beleza da vida.",7.61,1971-12-20,"Comédia, Drama, Romance",91
"Patton, Rebelde ou Herói?","Norte da África, 1943. Patton (George C. Scott) assume o comando e injeta disciplina nos seus subordinados. Na Segunda Guerra, preocupado com a batalha contra o Marechal Rommel (Karl Michael Vogler), Patton procura entendê-lo lendo o livro do próprio Rommel. Promovido, é enviado para a Itália, mas coloca o futuro de sua carreira em risco ao esbofetear um recruta que estava tendo um colapso nervoso. Este incidente o faz perder o comando do seu exército e, por extensão, ser excluído da invasão do ""Dia D"", além de ser forçado a pedir desculpas públicas pelo ocorrido.",7.487,1970-01-25,"Guerra, Drama, História",172
O Círculo Vermelho,"O grande ladrão Corey acabou de sair da prisão. Mas, ao invés de seguir a linha da liberdade que respeita a lei, ele se vê de volta ao mundo sombrio do crime, cruzando com um notório fugitivo e um ex-policial alcoólatra. Como esse trio improvável planeja um roubo contra probabilidades impossíveis, sua trilha é perseguida por um inspetor implacável, e a sorte sela seus destinos.",7.623,1970-10-19,"Crime, Thriller, Drama",140
Meu Ódio Será Sua Herança,"Perigosos fora-da-lei decidem se aposentar, mas são tentados por um trem carregado de armas com valiosa remessa. Eles já foram os mais perigosos ""fora da lei"" da fronteira, seguindo seus próprios códigos de honra e lealdade. Realizaram diversos assaltos pelas planícies do oeste, sempre colocando suas cabeças a prêmio. Mas os tempos mudaram. O lucro estava cada vez menor e o risco cada vez maior. Era hora de parar, mas a ganância falou mais alto. Dez mil dólares para roubar o carregamento de armas de um trem para um poderoso bandoleiro mexicano. Nada poderia detê-los, a não ser a morte.",7.6,1969-06-19,Faroeste,134
O Leão no Inverno,"Natal de 1183 - Um envelhecido Rei Henrique II planeja uma reunião onde ele espera escolherr seu sucessor. Ele convoca as seguintes pessoas para o Natal: suas ardilosa mas aprisionada esposa, Rainha Eleanor de Aquitânia; sua amante, a Princesa Alais, com quem ele deseja se casar; seus três filhos (Richard, Geoffrey, e João), todos os quais desejam o trono; e o jovem mas astuto Rei Filipe da França (que também é irmão de Alais). Com o destino do império de Henrique em jogo, todo mundo inicia sua própria luta de mentiras e traição para garantir sua reivindicação. Natal de 1183 - Todos os três filhos do rei Henrique II querem herdar o trono, mas ele não vai se comprometer com uma escolha. Então eles e sua ardilosa esposa tramam para forçá-lo.",7.4,1968-08-20,"Drama, História",134
No Calor da Noite,"Quando um rico empresário que planejava construir uma fábrica na cidade de Sparta, no estado do Mississipi, é encontrado assassinado em uma rua escura, o chefe de polícia Bill Gillespie pede a seus homens que procurem nas cercanias. O guarda Sam encontra o negro Virgil Tibbs na estação, esperando o trem das três da manhã para Memphis e suspeita dele. Ao revistá-lo e ver a carteira de Tibbs com muito dinheiro, Sam resolve levá-lo para a delegacia.",7.645,1967-08-02,"Crime, Drama, Mistério, Thriller",109
A Sangue Frio,"Após um roubo mal planejado resultar no brutal assassinato da família Clutter, fazendeiros em Holcomb - Kansas, os dois criminosos fogem da polícia, mas no final acabam enfrentando seu próprio destino mortal e as repercussões da sua atrocidade vil. Truman Capote chegou a Holcomb um mês após o crime, após ler uma notícia curta sobre o caso no New York Times. Entrevistou familiares das vítimas e dos assassinos, recolheu documentos oficiais, leu cartas e diários, observou tudo, e assistiu ao enforcamento dos criminosos. Em 25 de setembro de 1965, a revista The New Yorker publicou o último dos 4 capítulos escritos por Capote sobre o assassinato da família Clutter. Batendo recordes de vendas da revista, em janeiro de 1966 o romance saiu em formato de livro, um ""romance não-ficcional"", considerado a primeira obra do New Journalism.",7.5,1967-12-15,"Crime, Drama, Thriller, História",134
Doutor Jivago,"A vida de um médico e poeta russo que, apesar de casado com outra pessoa, se apaixona pela esposa de um ativista político e passa por dificuldades durante a Primeira Guerra Mundial e depois na Revolução de Outubro.",7.55,1965-12-22,"Drama, Romance, Guerra",197
Por um Punhado de Dólares,"Joe (Clint Eastwood) é um pistoleiro barra pesada que chega a uma cidade que está em guerra. Quando percebem o potencial de Joe, ambas as partes se interessam por contratá-lo; é quando ele percebe que pode ganhar um dinheiro com a situação aceitando a proposta dos dois lados.  Um pistoleiro misterioso (Clint  Eastwood) chega em San Miguel, uma cidade muito rude onde dois grupos rivais de contrabandistas aterrorizavam os cidadãos pobres. Rápido no gatilho, o estranho recebe ofertas de emprego das duas gangues.",7.8,1964-09-12,Faroeste,100
Charada,"Em Paris a americana Regina Lambert (Audrey Hepburn), que recentemente ficou viúva, tenta entender que tipo de vida o marido levava e onde podem estar escondidos os US$ 250 mil que muitos acreditam estar com ela.",7.674,1963-12-01,"Comédia, Mistério, Romance",114
Viver a Vida,"Doze contos episódicos na vida de uma mulher parisiense e sua lenta descida para a prostituição.  Os muitos rostos de uma mulher tentando encontrar-se em um mundo de homens. Este filme explora a descida de uma mulher parisiense na prostituição. O filme é composto por uma série de 12 ""tableaux"", cenas que são basicamente episódios desconectados, cada um apresentado com uma introdução de um curto texto. (e 16 - Estimado 16 Anos)",7.74,1962-09-20,Drama,84
Sob o Domínio do Mal,"Após retornar como herói da Guerra da Coréia, Raymond Shaw (Laurence Harvey) e seu pelotão não conseguem se lembrar direito o que aconteceu para ele ter recebido tal condecoração. Bennett Marco (Frank Sinatra) e um outro soldado, que faziam parte do pelotão, começam a ter pesadelos horríveis sobre alguns acontecimentos vividos durante a guerra. Marco então pesquisa sobre a vida atual de Shaw, e descobre que segredos horríveis podem estar guardados sob a memória perdida, inclusive de que Shaw pode estar sendo manipulado pelos seus inimigos através de uma perigosa lavagem cerebral.",7.526,1962-10-24,"Thriller, Drama",126
Spartacus,"Em uma Roma repleta de intrigas políticas, guerras civis entre aristocratas e provincianos, e lutas de arena, a expansão do Império é vital. Para isso, vilas são destruídas e mulheres e crianças e homens aprisionados e transformados em escravos. Mas para Spartacus, que aprendeu a lutar guerreando contra os romanos, escapar da escravidão e libertar seu povo vale muito mais que a honra de morrer como um gladiador.",6.674,2004-03-17,"Ação, Drama",174
"Hiroshima, Meu Amor","Hiroshima, 1959. Uma atriz francesa casada veio de Paris para trabalhar num filme sobre a paz. Ela tem um affair com um arquiteto japonês também casado, cuja esposa está viajando. Nos dois dias que passam juntos várias lembranças vêem à tona enquanto esperam, de forma aflita, a hora da partida dela. Ela conta que foi ""tosquiada"", pois se apaixonou por um alemão quando tinha apenas 18 anos e morava em Nevers, sendo libertada no dia em que seu amor foi morto, já no final da 2ª Guerra Mundial. Por ter amado um inimigo ela foi aprisionada por sua família numa fria e escura adega e agora, 14 anos depois, novamente sente o gosto de viver um amor quase impossível.",7.706,1959-06-10,"Drama, História, Romance",92
Gata em Teto de Zinco Quente,"Brick, um ex famoso jogador de futebol, agora alcoólico, rejeita a bela mulher Maggie, culpando-a de ter abandonado a sua carreira profissional. De igual modo, Brick rejeita também o seu pai, Harvey, que está morrendo com um câncer, porque nunca mantiveram uma relação aberta e são demasiados orgulhosos para se tornaram próximos agora. No aniversário de Harvey, a família encontra-se reunida, incluindo o seu outro filho, um ambicioso advogado, acompanhado pela mulher, uma pessoa demasiado intrometida. Será nesta noite inesquecível, que todas as verdades serão ditas...",7.654,1958-08-29,Drama,108
Ascensor para o Cadafalso,"Florence recruta seu amante, Julien, para assassinar seu marido no escritório dele. Ele comete o crime com entusiasmo, mas fica preso em um elevador quando volta para remover uma prova importante. O infeliz engano de Julien provocará involuntariamente uma série de eventos desafortunados.",7.624,1958-01-29,"Crime, Drama, Thriller",91
Os Dez Mandamentos,Épico do cinema mudo dividido em duas partes. A primeira parte conta a história de Moisés liderando os Judeus na fuga do Egito para a Terra Prometida e as entregas das tábuas dos mandamentos por Deus. A segunda parte conta a eficácia dos mandamentos na vida moderna e a história de dois irmãos rivais no amor de uma jovem.,6.542,1923-11-23,"Drama, Fantasia",136
Rastros de Ódio,"O veterano da Guerra Civil Ethan Edwards chega ao Texas em 1868 e encontra o seu irmão e a família dele. No dia seguinte, Comanches invadem o rancho, matam o seu irmão e Martha, a esposa dele, e raptam as duas filhas do casal. Ethan parte então em uma busca vingativa junto com o companheiro Martin, um mestiço que logo percebe que Ethan está obcecado por matar os índios. Ao encontrarem o corpo da mais velha, saem em busca da caçula, por quem procuram mais 5 anos no deserto.",7.696,1956-05-16,Faroeste,119
Os Corruptos,"O policial durão Dave Bannion enfrenta o sindicato do crime politicamente poderoso.  Dave Bannion é um policial honesto investigando uma gangue cruel que ele suspeita ter influência sobre a força policial. Bannion é alertado após o suicídio de um colega e o silêncio suspeito de seus colegas policiais o leva a acreditar que eles estão na folha de pagamento dos gângsteres. Quando uma bomba destinada a ele mata sua esposa, Bannion se torna uma furiosa força de vingança e justiça, auxiliado ao longo do caminho pela rejeitada namorada do gângster, Debby. Quando Bannion e Debby caem cada vez mais na armadilha traiçoeira e brutal do mundo do crime, eles devem usar todos os meios necessários (incluindo assassinato) para chegar à verdade. (e 14 - Estimado 14 Anos)",7.6,1953-10-14,"Crime, Thriller",90
Uma Rua Chamada Pecado,"Blanche vai visitar sua irmã grávida e o marido dela, Stanley, que não gosta dela e começa a forçá-la a falar sobre uma propriedade que sabe que foi deixada para as duas. Aos poucos o clima entre Stanley e Blanche vai ficando cada vez mais pesado.",7.614,1951-09-19,"Drama, Thriller",125
Pacto Sinistro,"Haines é um tenista famoso, casado, que gostaria de se divorciar para casar novamente com Anne Morton, a mulher que ama, e que é filha de um senador estadunidense. Para isso Haines viaja até Metcalf, sua cidade natal, com o intuito de conseguir a assinatura do divórcio de sua infiel mulher, Miriam, e fica furioso quando não consegue. Encontra no trem um psicopata chamado Bruno Antony, que o reconhece dos jornais e sabe de toda sua história. A certa altura, durante a viagem, Bruno propõe um pacto: ele mataria a mulher de Haines e em troca Haines mataria o pai dele. Embora Haines não tenha aceitado, Bruno realiza a sua parte e insiste em cobrar o pacto de Haines.",7.664,1951-06-27,"Crime, Thriller",100
No Silêncio da Noite,"O roteirista Dixon Steele (Humphrey Bogart) é conhecido por ter um temperamento bem explosivo, o que dificulta um pouco sua carreira. Steele tem a chance de recomeçar roteirizando um livro de grande sucesso, mas como não quer ler o livro convida para ir na sua casa a funcionária da chapelaria Mildred Atkinson (Martha Stewart), para lhe contar a história com suas próprias palavras. Um pouco depois da meia-noite ele diz para Mildred que está cansado, agradece a colaboração, dá a ela o dinheiro do táxi e se despedem. Mas naquela mesma noite ela é morta e Steele é o principal suspeito. Seus antecedentes de comportamento violento e seu macabro senso de humor acabam por complicá-lo ainda mais. Para sua sorte Laurel Gray (Gloria Grahame), sua amável vizinha, lhe proporciona um álibi. Laurel era exatamente o que Steele precisava e a amizade deles rapidamente se transforma em amor, mas talvez as desconfianças, dúvidas e demônios internos de Dixon atrapalhem essa relação.",7.596,1950-05-17,"Drama, Romance, Mistério",94
Meu Amigo Harvey,"Devido à sua insistência de que ele tem um coelho invisível de 1,80 m de altura como seu melhor amigo, um homem de meia-idade lunático é considerado por sua família como insano. Mas ele pode ser mais sábio do que se pensa. O clássico sucesso dos palcos recebe o tratamento de Hollywood na história de Elwood P. Dowd, que torna-se amigo de um fantasma na forma de um coelho de tamanho humano chamado Harvey que só ele vê (e alguns outros privilegiados na ocasião também.) Depois que sua irmã tenta interná-lo numa instituição mental, uma comédia de erros se segue. Elwood e Harvey se tornam os catalisadores para que uma família possa remendar suas feridas e para o romance florescer em lugares inesperados.",7.672,1950-12-04,"Comédia, Fantasia",104
Festim Diabólico,"Dois amigos (Farley Granger e John Dall) caçadores de aventura estrangulam seu colega de classe e organizam uma festa para a família e amigos da vítima, servindo refeições em uma mesa que na verdade é um baú que guarda o cadáver dele. Quando a conversa do jantar gira em torno do assassinato perfeito, o ex-professor (James Stewart) fica cada vez mais desconfiado que seus alunos converteram suas teorias intelectuais em uma realidade brutal.",7.942,1948-03-11,"Thriller, Crime, Drama",80
Notorious B.I.G. - Nenhum Sonho é Grande Demais,"Conta a história de Christopher Wallace (Jamal Woolard), mais conhecido como Notorius B.I.G., que saiu do Brooklyn para se tornar um dos maiores rappers de todos os tempos. Através do seu talento e dedicação, vemos sua chegada à fama após ter sido traficante pelas ruas do Brooklyn, em Nova York.",6.931,2009-01-16,"Música, Drama, História",125
A Bela e a Fera,"Moradora de uma pequena aldeia francesa, Bela tem o pai capturado pela Fera e decide entregar sua vida ao estranho ser em troca da liberdade do progenitor. No castelo ela conhece objetos mágicos e descobre que a Fera é na verdade um príncipe que precisa de amor para voltar à forma humana.",6.971,2017-03-16,"Família, Fantasia, Romance",129
Farrapo Humano,"Em Nova York, Don Birman (Ray Milland) sonhava ser escritor, mas não consegue seu objetivo por estar sofrendo de um bloqueio. Assim, é completamente dominado pelo álcool e passa a ter como única meta obter dinheiro para continuar se embriagando, se esquecendo que as pessoas que o rodeiam sofrem por vê-lo neste estado e tudo fazem para afastá-lo da bebida. Mas enquanto a namorada, Helen St. James (Jane Wyman), editora de uma revista, quer ajudá-lo, ele bebe cada vez mais.",7.628,1945-11-29,Drama,101
Esse Mundo é um Hospício,"Mortimer Brewster é um jornalista e escritor conhecido por suas implicância com o casamento. Logo na cena de abertura nós vemos ele se casar na prefeitura. Agora, só falta uma rápida viagem para casa para informar as tias solteironas de Mortimer. Ao tentar dar a notícia, ele descobre o passatempo de suas tias: matar velhos solitários, como se fosse um ato de caridade, e enterrá-los no porão. E vai ficar pior.",7.6,1944-09-01,"Comédia, Crime",118
Contrastes Humanos,"Acostumado a dirigir filmes simples e sem grandes implicações, o cineasta John L. Sullivan decide fazer um filme sobre os problemas sociais, mas é desencorajado por seus produtores, que o acham incapaz para tal. Para provar o contrário, ele se traveste de mendigo e vai para as ruas, para viver a experiência de perto e ter contato com a realidade.",7.431,1941-11-30,"Comédia, Romance, Aventura",91
Núpcias de Escândalo,"Uma herdeira entediada, destinada a se casar com um executivo chato, vê seus planos de casamento frustrados com a chegada de seu ex-marido playboy. E família então gradualmente começa a perceber a importância da integridade e dos verdadeiros valores.",7.6,1940-12-05,"Comédia, Romance",112
As Aventuras de Robin Hood,"No século XII, quando o rei da Inglaterra Ricardo Coração-de-Leão é sequestrado na Áustria ao retornar das Cruzadas, o príncipe John tenta usurpar o trono, favorecendo os normandos invasores em detrimento dos saxões. Contra esta situação, o nobre Robin Hood organiza nas florestas de Sherwood um bando de salteadores e rebeldes. Enquanto ataca os normandos e rouba dos ricos para dar aos pobres, Robin se apaixona por Marian, protegida do rei Ricardo, que o príncipe quer casar com o arrogante Sir Guy.",7.467,1938-05-13,"Aventura, Romance, História, Ação",102
A Ceia dos Acusados,Uma dupla de detetives marido-e-mulher assume a busca de um inventor desaparecido e quase morre em seus esforços. (e 12 - Estimado 12 Anos),7.486,1934-05-25,"Comédia, Mistério, Crime",91
King Kong 2,"O filme começa onde parou a versão de 1976, com King Kong morto sendo levado a um laboratório onde cientistas implantam um coração mecânico, mas para ressuscitar o monstro seria necessário encontrar sangue de outra criatura da mesma espécie. Uma expedição encontra uma fêmea na floresta amazônica e a leva para os EUA, desta vez criando uma história de amor entre os dois gorilas, que inclusive terão um filhote.",5.122,1986-12-16,"Fantasia, Ação, Aventura",105
Aberrações,"Chloe é uma menina de sete anos desesperada para escapar da proteção de seu paranoico pai e experimentar o mundo fora dos muros de sua casa caindo aos pedaços. Quando um dia seu pai pega no sono e ela aproveita para fugir, ela descobre um mundo lá fora cheio de mistérios e perigos muito maiores do que ela poderia imaginar.",6.752,2019-09-12,Ficção científica,105
Nosferatu,"Um conto gótico de obsessão entre uma jovem assombrada na Alemanha do século XIX e o antigo vampiro da Transilvânia que a persegue, trazendo consigo um horror incalculável.",6.705,2024-12-25,"Terror, Fantasia",133
Magnatas do Crime,"Um talentoso graduado estadunidense em Oxford, usando suas habilidades únicas, audácia e propensão à violência, cria um império da maconha usando as propriedades dos aristocratas ingleses empobrecidos. No entanto, quando ele tenta vender seu negócio a um colega bilionário. Daí, uma cadeia de eventos se desenrola, envolvendo chantagem, decepção, caos e assassinato entre bandidos de rua, oligarcas russos, gângsteres e jornalistas.",7.682,2020-01-01,"Comédia, Crime",113
